id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2050,Explore Mexico City on foot from a Master Suite,111031291,Juan Jose,,CuauhtÈmoc,19.42712,-99.17129,Private room,2629,1,14,04/12/2022,0.24,4,365,4,
2051,"Paz, tranquilidad y contemplaci√≥n.",111038643,Margarita,,Tlalpan,19.24461,-99.18316,Private room,700,4,42,02/11/2022,0.68,2,120,5,
2052,Lovely Studio with Terrace  in Chimalistac,107201280,Delmari,,¡lvaro ObregÛn,19.34803,-99.18416,Entire home/apt,1361,3,1,11/11/2021,0.07,4,183,0,
2053,"¬°Top location, No street sounds",10811347,Juanpablo,,CuauhtÈmoc,19.42197,-99.15678,Private room,520,4,50,12/12/2022,0.71,2,223,8,
2054,Beautiful and cozy apartment downtown Mexico City,192304327,Minerva,,CuauhtÈmoc,19.4317,-99.13911,Entire home/apt,900,1,47,17/12/2022,0.65,3,362,9,
2055,Suites TODO INCLUIDO TEC CCM,10730083,Israel,,Tlalpan,19.28594,-99.12679,Entire home/apt,850,3,2,04/07/2022,0.03,7,179,1,
2056,"Mexican style apartment in ""Condesa""",79171191,Kari,,CuauhtÈmoc,19.41471,-99.1789,Entire home/apt,1500,29,60,13/05/2022,0.83,1,212,1,
2057,"Lovely apartment at  Roma, ideal for remote work",15791350,Luis Eduardo,,CuauhtÈmoc,19.41626,-99.15741,Entire home/apt,1553,10,112,30/11/2022,1.57,6,183,10,
2058,"Depto cerca de Sta Fe,con jard√≠n,sal√≥n  y temazcal",105627201,Silvia,,¡lvaro ObregÛn,19.33218,-99.25636,Entire home/apt,1530,1,2,19/06/2022,0.28,1,176,2,
2059,Coyoacan appartment - Ciudad de Mexico SUR,107935072,Ernesto,,Coyoac·n,19.33753,-99.14749,Entire home/apt,583,3,207,31/10/2022,2.83,1,242,11,
2060,Cuarto Privado,87569510,Alma,,Miguel Hidalgo,19.43126,-99.21594,Private room,1777,1,3,11/08/2017,0.04,1,363,0,
2061,Bienvenidos a la contemplaci√≥n!,111038643,Margarita,,Tlalpan,19.24656,-99.18146,Private room,700,4,26,24/03/2022,0.37,2,4,1,
2062,Cozy Studio with shared terrace in la N√°poles,21941749,Karla,,Benito Ju·rez,19.39601,-99.17704,Entire home/apt,776,3,134,04/12/2022,1.87,6,26,14,
2063,STYLISH 1BED/1BA ON AMSTERDAM AV.,48259354,Condesa,,CuauhtÈmoc,19.40925,-99.17088,Entire home/apt,2013,2,111,20/09/2022,1.52,27,356,17,
2064,"Lovely apartment in Narvarte, CD MX",108139286,Daniel,,Benito Ju·rez,19.3965,-99.14892,Entire home/apt,580,3,31,28/11/2022,0.42,1,26,9,
2065,Condesa  Penthouse with Terrace!!!,101508636,Viadora,,CuauhtÈmoc,19.4164,-99.17496,Entire home/apt,5614,2,252,24/12/2022,3.57,20,217,44,
2066,Condesa Penthouse - Skyline Views!!!,101508636,Viadora,,CuauhtÈmoc,19.41749,-99.17724,Entire home/apt,5475,2,214,15/11/2022,3.01,20,259,36,
2067,3 story penthouse in the heart of Mexico City,48115279,Marco,,Miguel Hidalgo,19.39829,-99.17577,Entire home/apt,2500,2,4,01/01/2018,0.06,1,364,0,
2068,Beautiful LoftBed in Eco-Coyoacan Casita,49836026,Davi,,Coyoac·n,19.35089,-99.14961,Private room,350,2,33,07/11/2022,0.45,4,357,6,
2069,What a dome in DownTown!,46570815,Claudio Y Angela,,CuauhtÈmoc,19.43977,-99.13434,Entire home/apt,601,2,222,25/12/2022,3.13,9,157,59,
2070,Cozy studio close to business district,108475636,Patricia,,Cuajimalpa de Morelos,19.36873,-99.27772,Private room,650,2,19,23/11/2017,0.27,3,365,0,
2071,Roma Sur recamara independiente,39018009,Silvia,,CuauhtÈmoc,19.40169,-99.16984,Private room,409,3,44,20/12/2022,0.62,6,353,22,
2072,Cozy Apartment in heart of Mx Cty,37328597,Alejandra,,CuauhtÈmoc,19.44023,-99.1347,Entire home/apt,737,1,179,15/11/2022,2.52,1,346,18,
2073,Cozy apartment at a traditional neighborhood...,4867633,Alex,,Benito Ju·rez,19.38621,-99.14358,Private room,203,1,1,10/01/2017,0.01,1,146,0,
2074,Lindo Departamento,76045139,Roberto,,Coyoac·n,19.34894,-99.12519,Entire home/apt,950,2,94,15/12/2022,1.29,1,81,22,
2075,"amazing  Ph in polanco, pool, gym,  best location!",23574303,Nadlan 770,,Miguel Hidalgo,19.44203,-99.19788,Entire home/apt,4375,2,145,26/11/2022,2.06,1,66,20,
2076,"Lighty, stylish 2 BR flat in vibrant city center",20667217,Diego,,CuauhtÈmoc,19.42821,-99.14135,Entire home/apt,1361,40,17,06/09/2021,0.24,3,155,0,
2077,"NEW,LUXURY and SPACIOUS  2 LEVEL PH in DEL VALLE",65783577,Paola,,Benito Ju·rez,19.37516,-99.16035,Entire home/apt,2583,3,57,12/12/2022,0.82,2,349,17,
2078,Habitaci√≥n c√≥moda y tranquila.,42420697,Anneliese,,Miguel Hidalgo,19.39347,-99.24514,Private room,600,1,12,03/08/2018,0.18,2,87,0,
2079,A Polanco Apt. that feels like home,22961599,Arturo,,Miguel Hidalgo,19.43375,-99.18922,Entire home/apt,1591,3,43,31/03/2019,0.61,1,44,0,
2080,Main house rooms,108475636,Patricia,,Cuajimalpa de Morelos,19.36821,-99.27926,Private room,680,2,8,20/11/2022,0.11,3,365,1,
2081,Cozy 2 bedroom apartment walking distance from WTC,21577324,Paola,,Benito Ju·rez,19.38621,-99.17703,Entire home/apt,1899,2,87,31/08/2022,1.22,2,36,9,
2082,"Hermoso y acogedor depto cerca INP, UNAM, Perisur",108631341,Charlotte,,Coyoac·n,19.3035,-99.18395,Entire home/apt,700,3,3,16/10/2019,0.07,1,177,0,
2083,ENTIRE Appartment 5 min from INTL-AIRPORT,3283631,Ana,,Venustiano Carranza,19.43908,-99.09152,Entire home/apt,590,1,180,11/12/2022,2.52,3,175,44,
2084,Rinconcito cerca de Coyoac·n,107839226,Liliana,,Coyoac·n,19.34769,-99.15217,Private room,366,3,2,31/07/2022,0.2,3,150,2,
2085,Roma Norte Plaza R√≠o de Janeiro,39304640,Paula,,CuauhtÈmoc,19.42208862,-99.16055298,Entire home/apt,2500,2,11,21/11/2022,0.37,1,60,4,
2086,Acogedor departamento,61873584,Gabriela,,Tlalpan,19.30336,-99.139,Entire home/apt,1000,3,68,14/11/2021,0.96,8,211,0,
2087,Apartamento exterior frente Parque Delta 12,2281290,Suites,,Benito Ju·rez,19.40016,-99.15598,Entire home/apt,491,1,214,24/12/2022,3.18,45,362,64,
2088,Polanco Horacio Sunny Apartment,29534242,Aaron,,Miguel Hidalgo,19.43433,-99.21189,Entire home/apt,1519,2,125,19/12/2022,1.74,2,323,3,
2089,Spacious private room in colonia Roma Sur,111353432,Isabel,,CuauhtÈmoc,19.40328,-99.16006,Private room,500,1,211,07/12/2022,2.93,1,354,37,
2090,""" Perisur "" Recamara  en Insurgentes Sur",25274627,Catalina,,Tlalpan,19.28271,-99.17209,Private room,1600,2,1,22/09/2018,0.02,1,365,0,
2091,Departamento 100mts Polanco,108744504,Naiby,,Miguel Hidalgo,19.44588,-99.20355,Entire home/apt,1100,7,2,18/10/2019,0.03,1,268,0,
2092,*UNIQUE Mexican Style* - Balcony / Roma,113302248,Juan Pablo,,CuauhtÈmoc,19.41965,-99.17324,Entire home/apt,1339,4,167,22/11/2022,2.34,13,44,19,
2093,Amazing apt @ Trendiest Roma North District,52258017,Pablo,,CuauhtÈmoc,19.42124,-99.15365,Entire home/apt,1290,1,391,15/12/2022,5.48,3,230,33,
2094,"""Hospedaje Suite Zona Rosa""",113386617,Pedro,,CuauhtÈmoc,19.42505,-99.16587,Entire home/apt,800,3,135,29/11/2021,1.89,1,2,0,
2095,"A Departamento , cocineta, refrigerador y jard√≠n.",108777765,Tomas,,Tl·huac,19.28424,-99.00191,Entire home/apt,248,2,22,19/11/2022,0.47,3,195,5,
2096,vista de ba√±o y tipo de habitaciones,647454,Fernando,,Coyoac·n,19.35285,-99.16534,Private room,1350,1,0,,,3,331,0,
2097,Centric and beautiful duplex,3247920,Rodolfo,,CuauhtÈmoc,19.43315,-99.16433,Entire home/apt,2100,2,8,27/11/2022,0.11,1,120,3,
2098,Casa Roma. Perfect apartment in the Roma¬¥s heart,74027272,Laura,,CuauhtÈmoc,19.41881,-99.16259,Entire home/apt,1879,2,56,11/12/2022,1.91,1,141,37,
2099,Abitacion  privada cerca Santa Fe y Interlomas .,113456340,Marco,,Cuajimalpa de Morelos,19.36995,-99.28942,Private room,3000,2,0,,,4,365,0,
2100,"Coyoac·n, s√≥lo mujeres doctoras o turistas a even.",108882187,G. Yvette,,Coyoac·n,19.34545,-99.17993,Private room,479,2,2,23/02/2018,0.03,2,362,0,
2101,La nave monasterio,113422597,Leonardo,,Azcapotzalco,19.47801,-99.20746,Private room,486,1,7,24/06/2018,0.1,1,173,0,
2102,"Coyoacan, rec√°mara en jard√≠n",111765089,Lilian,,Coyoac·n,19.34139,-99.1599,Private room,963,20,25,23/12/2022,0.36,2,347,3,
2103,No disponible,11961590,Luis,,¡lvaro ObregÛn,19.34896,-99.23468,Private room,4000,1,0,,,1,89,0,
2104,Beautiful apartment South of Mexico City,7550558,Ana,,¡lvaro ObregÛn,19.35773,-99.18342,Entire home/apt,1100,2,42,22/12/2022,0.6,1,362,11,
2105,Acogedor espacio para descansar en tu viaje,113534342,Claudia,,Benito Ju·rez,19.3844,-99.18226,Private room,350,5,8,09/11/2021,0.15,1,146,0,
2106,Real de Coyoacan,113533415,Sant,,Coyoac·n,19.34352,-99.15555,Private room,661,1,2,29/08/2017,0.03,1,87,0,
2107,"Casa Lipari.  Comodidad, Ubicaci√≥n. PB. Factura",116114928,Graciela,,Miguel Hidalgo,19.45801,-99.18812,Entire home/apt,800,2,104,05/12/2022,1.6,1,362,19,
2108,"Ubicaci√≥n C√©ntrica, Seguridad, Limpieza. 7px/3R/2B",113568667,Olivia,,CuauhtÈmoc,19.43609,-99.16572,Entire home/apt,1048,2,137,27/06/2022,1.94,1,0,14,
2109,2 bedroom apartment,23183565,Marissa,,Miguel Hidalgo,19.43298,-99.17368,Entire home/apt,1050,2,65,16/12/2022,0.92,2,361,19,
2110,UBICACION AL SUR DE LA CIUDADrec01,105632935,Blanca Estela,,Benito Ju·rez,19.36133,-99.14588,Private room,300,7,13,28/06/2022,0.18,3,332,2,
2111,Moderno Depto muy bien ubicado,20362554,Enrique,,Benito Ju·rez,19.37726,-99.15256,Entire home/apt,1289,3,187,08/12/2022,2.6,2,58,42,
2112,Tiny loft en el coraz√≥n de Coyoac·n Mini y lindo,28970090,Josefina Hitsuri,,Coyoac·n,19.348,-99.15843,Entire home/apt,767,2,194,21/12/2022,2.9,2,333,64,
2113,Apartment in Mexico City - Escandon -Condesa,95441297,Itxel And Victor,,Miguel Hidalgo,19.401031,-99.176613,Entire home/apt,605,3,62,27/11/2022,0.9,1,352,8,
2114,Cuarto independiente con ba√±o propio en una casa,111921931,Agueda,,Benito Ju·rez,19.3805,-99.14587,Private room,201,5,1,30/04/2018,0.02,1,302,0,
2115,Cozy Apartment in terrace in Coyoacan,53866071,Juli√°n,,Coyoac·n,19.34553,-99.16925,Entire home/apt,750,2,86,27/11/2022,1.22,1,238,33,
2116,Nice apartment. Amazing location,44544495,Juan Ram√≥n,,Benito Ju·rez,19.36841,-99.16796,Entire home/apt,914,5,26,17/01/2022,0.36,1,331,1,
2117,habitaci√≥n en casa privada,113456340,Marco,,Cuajimalpa de Morelos,19.36928,-99.29314,Private room,3000,2,2,13/09/2017,0.03,4,178,0,
2118,"Lovely, bright and quiet apartment in La Condesa",85361866,Dolores Mar√≠a Del Carmen,,CuauhtÈmoc,19.40961,-99.17545,Entire home/apt,1350,3,96,20/12/2022,1.36,2,32,23,
2119,301 DWTWN CDMX! 1 bedroom 1 bath A/C Apt. Rooftop,12216741,Alice & Albert,,CuauhtÈmoc,19.428986,-99.134689,Entire home/apt,914,1,182,17/12/2022,2.56,19,335,44,
2120,"Apto habitaci√≥n (parking, seguridad)",113942351,Martin,,Miguel Hidalgo,19.44724,-99.21318,Private room,600,30,1,24/07/2017,0.02,1,90,0,
2121,Big Penthouse and perfect terrace in Polanco!,55605035,Luz,,Miguel Hidalgo,19.43758,-99.19792,Entire home/apt,3518,2,108,12/01/2020,1.5,1,39,0,
2122,Convenient apartment.,116260139,Patricia,,Benito Ju·rez,19.37719,-99.17888,Private room,321,5,10,10/08/2022,0.14,1,331,4,
2123,FABULOUS APT. FABULOUS LOCATION!!!,18840420,Gaby,,Miguel Hidalgo,19.43764,-99.18889,Entire home/apt,1359,10,32,06/03/2022,0.47,1,334,2,
2124,Suite est√°ndar en Portal San √Ångel,110805631,Adri√°n,,¡lvaro ObregÛn,19.36133,-99.18829,Private room,1199,1,0,,,16,365,0,
2125,FRESH & COZY Rustic-Minimalist style Apt. / CDMX,113302248,Juan Pablo,,CuauhtÈmoc,19.41932,-99.17412,Entire home/apt,950,2,16,29/11/2022,0.24,13,0,1,
2126,Luminosa habitaci√≥n c/ba√±o-terraza,29104823,Adri√°n,,Benito Ju·rez,19.39447,-99.15085,Private room,680,1,1,31/08/2018,0.02,1,179,0,
2127,Loft doble en Portal San √Ångel,110805631,Adri√°n,,¡lvaro ObregÛn,19.36133,-99.18829,Private room,1399,1,2,25/10/2022,0.03,16,346,1,
2128,cuarto  privado e independiente  en casa,114025346,Luis Carlos,,Cuajimalpa de Morelos,19.37855,-99.26134,Private room,460,1,116,11/11/2020,1.65,1,83,0,
2129,Plant-Lover‚Äôs Sunny Rooftop Oasis in Hip Condesa,2037160,Lola Y Diego Joaquin,,CuauhtÈmoc,19.40899,-99.17804,Entire home/apt,1991,2,120,12/12/2022,1.73,1,287,23,
2130,Hermosa rec√°mara en la colonia Condesa.,55029267,Susana,,CuauhtÈmoc,19.41091,-99.16776,Private room,400,5,103,06/11/2022,1.46,2,30,12,
2131,Bicycles included during your stay.,69437860,Carlos,,Benito Ju·rez,19.39188,-99.17917,Entire home/apt,602,2,12,14/06/2021,0.17,2,332,0,
2132,Lovely 2 bedroom house in Tlalpan.,105110977,Alma,,Tlalpan,19.29048,-99.14603,Entire home/apt,950,2,62,22/09/2022,0.88,1,90,6,
2133,"Clean, private room, near Condesa, fast internet",3332124,Roberto,,Miguel Hidalgo,19.40467,-99.18064,Private room,424,5,153,17/01/2021,2.39,1,28,0,
2134,Depa nuevo Roma Sur 2 rec / New apt 2 bedroom,24074394,Carlos,,Benito Ju·rez,19.40021,-99.16742,Entire home/apt,1200,2,9,04/01/2018,0.13,1,359,0,
2135,Fabulous modern apartment in the city! Spacious!,83610363,Juan Carlos,,Benito Ju·rez,19.3956,-99.17665,Entire home/apt,3377,2,16,03/11/2019,0.23,1,364,0,
2136,Habitaci√≥n confortable en casa muy bien decorada,98058700,Alejandro Angel,,CuauhtÈmoc,19.41131,-99.16739,Private room,650,2,28,29/06/2022,1.41,2,279,12,
2137,Discover La Condesa from a Terrace of Your Own,119183547,Ana,,CuauhtÈmoc,19.41657,-99.17133,Entire home/apt,3632,2,207,14/12/2022,2.93,1,272,45,
2138,Suites Aura for Living Ingles,116401373,Suites Aura For Living SC,,Benito Ju·rez,19.39546,-99.17212,Private room,2550,1,8,19/08/2022,0.11,1,365,4,
2139,little and comfy studio,1497087,Penelope,,CuauhtÈmoc,19.41228,-99.17513,Entire home/apt,388,1,253,12/12/2022,3.6,9,325,46,
2140,Bedroom near the airport of the city of Mexico,363718853,Maria Dolores,,Iztacalco,19.41394,-99.0573,Private room,291,1,551,17/12/2022,7.73,1,342,103,
2141,"Comfortable, Private place near Airport. Sanitized",71889167,Alejandrina,,Venustiano Carranza,19.42946,-99.1014,Entire home/apt,444,1,385,11/12/2022,6.02,5,165,48,
2142,Habitaci√≥n privada Angel de la Independencia  CDMX,116448868,Oscar,,CuauhtÈmoc,19.42337,-99.16957,Private room,550,1,94,26/11/2022,1.34,1,150,8,
2143,‚ô°Para Parejas y Aventureros‚ô°,114209413,Alejandro,,Iztacalco,19.40118,-99.12933,Entire home/apt,1361,5,1,10/03/2017,0.01,1,90,0,
2144,Amazing Location Reforma Angel de la Independencia,118734237,Rafael,,CuauhtÈmoc,19.42285,-99.17312,Entire home/apt,1203,1,183,11/12/2022,2.6,1,314,14,
2145,Condesa/escandon best location,25749855,Diego,,Miguel Hidalgo,19.40392,-99.1766,Entire home/apt,1000,30,14,16/12/2022,0.2,1,294,3,
2146,Estudio Moderno Cerca del Centro Hist√≥rico,3777702,Abraham,,CuauhtÈmoc,19.44162,-99.14618,Private room,524,1,49,08/12/2022,0.7,6,306,8,
2147,"Habitaci√≥n privada, a 5 min AICM.",114222918,Luis,,Gustavo A. Madero,19.46329,-99.09247,Private room,200,1,4,01/12/2019,0.06,1,0,0,
2148,Sunny and cozy apartment in la Roma,57000976,Isabelle,,CuauhtÈmoc,19.40354,-99.16713,Entire home/apt,1436,2,14,15/10/2021,0.2,1,0,0,
2149,Habitaci√≥n y Ba√±o Privado / Guanabana 77,114251148,Carmen,,Azcapotzalco,19.4616,-99.16842,Private room,350,1,13,09/12/2019,0.19,1,0,0,
2150,En el coraz√≥n cultural de la Ciudad de M√©xico,52803591,Abel,,Coyoac·n,19.34383,-99.16176,Entire home/apt,485,2,94,03/12/2022,1.35,3,330,25,
2151,Mi casa #2 at Polanco's most exclusive area,96086504,Dan,,Miguel Hidalgo,19.430599,-99.187103,Entire home/apt,3401,1,59,31/10/2022,0.83,4,347,12,
2152,"Precioso Departamento Ciudad de Mexico ""centrico""",105748894,Alejandro,,CuauhtÈmoc,19.42983,-99.16214,Entire home/apt,959,2,71,29/05/2021,1.01,2,0,0,
2153,Your Place in Mexico City,112423955,Shaul,,Miguel Hidalgo,19.4357,-99.20863,Entire home/apt,1800,2,27,05/11/2022,0.38,1,179,5,
2154,"Apartment Shunya, Polanco",116571317,Berenice,,Miguel Hidalgo,19.43271,-99.18275,Entire home/apt,1844,1,52,04/11/2018,0.75,1,0,0,
2155,Agradable y c√≥modo depto en San Jos√© Insurgentes,53773528,Aida,,Benito Ju·rez,19.36497,-99.1892,Private room,300,3,0,,,1,311,0,
2156,Cozy Quiet Safe STUDIO (Supermarket+Lively Areas),787576,Ruben,,Miguel Hidalgo,19.41593,-99.21604,Entire home/apt,790,3,8,22/12/2022,0.11,1,53,6,
2157,Bonito departamento sobre Divisi√≥n del Norte,119369293,Veronica Y Jaime,,Benito Ju·rez,19.36047,-99.15357,Entire home/apt,736,2,96,11/12/2022,1.37,1,347,15,
2158,"Private bedroom, shared bathroom.  Only women.",53898201,Dhyan Pavitra Caril√∫,,Benito Ju·rez,19.37762,-99.16216,Private room,390,2,27,30/10/2022,0.38,1,365,2,
2159,"Suite al sur de la CDMX, Acoxpa, Estadio Azteca",48717020,Hostales Del Sur,,Tlalpan,19.29961,-99.13656,Entire home/apt,750,1,12,11/12/2022,0.35,14,90,4,
2160,Beautiful mexican room in historical Coyoacan,116597637,Gustavo,,Coyoac·n,19.3475,-99.16097,Private room,671,3,191,27/11/2022,2.68,1,349,22,
2161,"Entero a 6 Calles Metro Patriotismo, Cerca W.T.C.",114374120,Conrada Oliva,,Miguel Hidalgo,19.401251,-99.177658,Entire home/apt,900,2,37,15/12/2022,0.52,3,333,10,
2162,Beautiful Private Room in the Best Location,56964376,Patricia,,Cuajimalpa de Morelos,19.38553,-99.2551,Private room,650,3,28,11/10/2019,0.39,3,177,0,
2163,Private room  Beds In Roma Norte,31963755,Jennifer,,CuauhtÈmoc,19.42143,-99.16338,Private room,750,7,34,01/04/2022,0.48,2,182,1,
2164,departamento completo 2 habitaciones,119471478,Gabriela,,Benito Ju·rez,19.38527,-99.15095,Entire home/apt,3550,1,0,,,1,364,0,
2165,COYOACAN. THE HEART OF LOS VIVEROS. GREAT LOCATION,98486441,Tete,,Coyoac·n,19.34996,-99.17758,Private room,933,3,4,29/05/2017,0.06,1,245,0,
2166,DEPARTAMENTO NUEVO AMUEBLADO A 7 MN DE SANTA FE,106139320,Monica,,¡lvaro ObregÛn,19.33385,-99.24167,Entire home/apt,1250,3,6,09/12/2022,0.14,6,343,3,
2167,NICE &NEW apartment 7 min to Santa Fe Mexico City.,106139320,Monica,,¡lvaro ObregÛn,19.33255,-99.24287,Entire home/apt,2100,2,3,16/02/2018,0.04,6,342,0,
2168,STUDIO GARDEN,60000817,Guillermo,,CuauhtÈmoc,19.40493,-99.17353,Private room,1247,3,45,09/12/2022,0.64,2,343,31,
2169,"Condesa Gorgeous flat, great location and views",7408970,Maria,,CuauhtÈmoc,19.41789,-99.17823,Entire home/apt,1619,2,111,27/02/2022,1.58,1,43,2,
2170,"THE RASTA HOUSE DOWNTOWN, GREAT FOR SMART PEOPLE!",11926583,Gumaro,,CuauhtÈmoc,19.40572,-99.14343,Entire home/apt,680,3,97,06/11/2022,1.36,2,139,14,
2171,"Beautiful rooms, downtown area",116693993,Maria Eugenia,,CuauhtÈmoc,19.41544,-99.17496,Private room,459,2,265,12/12/2022,3.71,3,335,49,
2172,"Delightful Spot, Perfectly Located",2771484,Edwina,,CuauhtÈmoc,19.4323,-99.16385,Entire home/apt,796,1,39,13/11/2022,0.55,1,82,7,
2173,Hermoso Departamento a una cuadra de Polanco,116443273,Leticia Marisol,,Miguel Hidalgo,19.43834,-99.1895,Entire home/apt,851,2,9,11/10/2022,0.13,1,346,4,
2174,Suites Anzures 2,40243564,Christian,,Miguel Hidalgo,19.43443,-99.17644,Private room,471,2,91,18/12/2022,1.29,8,11,17,
2175,Acogedor departamento en privilegiada ubicaci√≥n con mucha luz y hermosa vista.,76133780,Hernando,,CuauhtÈmoc,19.41897,-99.15998,Entire home/apt,2387,2,218,26/12/2022,3.12,2,297,42,
2176,Top location heart of Financial Center & Museums,59794729,Cristina,,Miguel Hidalgo,19.4289,-99.17617,Entire home/apt,1167,4,13,03/03/2020,0.18,2,56,0,
2177,Airport 5 min Petite apartment Lay over-work,71889167,Alejandrina,,Venustiano Carranza,19.4294,-99.10193,Entire home/apt,679,2,212,11/12/2022,2.98,5,162,27,
2178,Beautiful room.,115190279,Luis,,Miguel Hidalgo,19.44429,-99.20686,Private room,273,2,61,29/07/2022,0.86,4,0,23,
2179,Private bungalow in Coyoac·n.,104697061,Kyra,,Coyoac·n,19.34669,-99.17124,Entire home/apt,690,1,124,10/12/2022,1.81,2,361,22,
2180,"Bello departamento, con AC y todo lo que necesitas",115212817,Lourdes Y Carla,,Benito Ju·rez,19.36532,-99.16256,Entire home/apt,2664,3,101,14/12/2022,1.62,1,231,28,
2181,Well located Rooms for business and visitors,115255325,Sylvia,,Cuajimalpa de Morelos,19.37556,-99.27388,Private room,430,1,28,10/11/2020,0.42,1,365,0,
2182,Cozy and peaceful appartment in San Angel.,118678090,Jes√∫s,,¡lvaro ObregÛn,19.3483,-99.20321,Entire home/apt,500,7,14,04/05/2022,0.2,4,196,2,
2183,Se renta habitaci√≥n en Departamento moderno,10108167,Emerson,,Miguel Hidalgo,19.44507,-99.17276,Private room,414,1,2,23/03/2017,0.03,1,364,0,
