id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2184,Depto mex style en excelente ubicaci√≥n Reforma,88365870,Anya,,CuauhtÈmoc,19.42279,-99.17177,Entire home/apt,1564,2,190,26/11/2022,2.72,24,85,25,
2185,Comfortable Room in La Condesa,93733966,Gabriela Garza Y Carlos,,CuauhtÈmoc,19.40994,-99.17271,Private room,466,2,111,12/12/2022,1.57,4,74,17,
2186,¬°Unique! Roma Town House | 3BR | Terrace,77407057,Luis Carlos,,CuauhtÈmoc,19.42215,-99.16639,Entire home/apt,3882,1,48,28/11/2022,0.68,9,279,7,
2187,Modern apartment with all facilities you need,84850094,Eugenio,,Miguel Hidalgo,19.43283,-99.21272,Entire home/apt,1442,2,53,04/12/2022,1.9,1,324,15,
2188,Dormitorio en c√≥modo Departamento,35834976,Gerry,,Benito Ju·rez,19.38767,-99.167,Private room,614,2,8,22/11/2022,0.13,1,365,2,
2189,The  Heart  Hipster Colonia Roma,51032284,Roberto,,CuauhtÈmoc,19.41572,-99.15792,Entire home/apt,970,2,65,07/12/2022,0.91,4,159,14,
2190,‚ö°Best Location in Mexico ! / 1br Designer Apt 503‚ö°,27411678,Casa,,CuauhtÈmoc,19.42622,-99.16604,Entire home/apt,1046,2,267,25/12/2022,3.75,17,350,62,
2191,"Fabulous, Sunny, Studio in Condesa",14852202,Tatjana,,CuauhtÈmoc,19.41284,-99.16713,Entire home/apt,1844,2,127,25/12/2022,1.9,1,313,27,
2192,Moderno departamento frente a Alameda Central,61093248,Marcela,,CuauhtÈmoc,19.43459,-99.14475,Entire home/apt,900,2,228,03/06/2022,3.21,1,0,15,
2193,Coyoacan Centenario,119941116,Edgar,,Coyoac·n,19.35032,-99.16267,Entire home/apt,960,2,107,12/12/2022,1.58,1,109,28,
