id,neighbourhood,room_type,price,minimum_nights,minimum_price
756,Cuauhtémoc,Entire home/apt,1203,3,3609
757,Cuauhtémoc,Entire home/apt,3429,7,24003
758,Miguel Hidalgo,Entire home/apt,1714,5,8570
759,Miguel Hidalgo,Entire home/apt,2112,2,4224
760,Cuauhtémoc,Entire home/apt,1051,2,2102
761,Cuauhtémoc,Entire home/apt,1456,2,2912
762,Benito Juárez,Entire home/apt,970,1,970
763,Cuauhtémoc,Private room,419,1,419
764,Cuauhtémoc,Entire home/apt,1650,3,4950
765,Miguel Hidalgo,Entire home/apt,810,1,810
766,Miguel Hidalgo,Entire home/apt,2606,3,7818
767,Benito Juárez,Entire home/apt,754,3,2262
768,Álvaro Obregón,Private room,479,2,958
769,Cuauhtémoc,Entire home/apt,7423,3,22269
770,Benito Juárez,Private room,1000,1,1000
771,Miguel Hidalgo,Entire home/apt,1156,3,3468
772,Cuauhtémoc,Entire home/apt,1670,2,3340
773,Cuauhtémoc,Entire home/apt,1200,2,2400
774,Benito Juárez,Private room,614,19,11666
775,Cuajimalpa de Morelos,Entire home/apt,1863,3,5589
776,Miguel Hidalgo,Entire home/apt,810,5,4050
777,Coyoacán,Private room,3424,1,3424
778,Cuauhtémoc,Private room,450,1,450
779,Álvaro Obregón,Entire home/apt,950,3,2850
780,Miguel Hidalgo,Entire home/apt,1141,2,2282
781,Coyoacán,Entire home/apt,795,2,1590
782,Cuauhtémoc,Entire home/apt,1001,1,1001
783,Álvaro Obregón,Entire home/apt,395,4,1580
784,Miguel Hidalgo,Entire home/apt,1555,2,3110
785,Miguel Hidalgo,Entire home/apt,1555,2,3110
786,Benito Juárez,Private room,350,3,1050
787,Cuauhtémoc,Private room,611,2,1222
788,Benito Juárez,Private room,440,1,440
789,Cuauhtémoc,Entire home/apt,1488,4,5952
790,Álvaro Obregón,Private room,450,1,450
791,Cuauhtémoc,Entire home/apt,6000,5,30000
792,Cuauhtémoc,Entire home/apt,1386,2,2772
793,Cuauhtémoc,Entire home/apt,1458,6,8748
794,Benito Juárez,Entire home/apt,1167,2,2334
795,Miguel Hidalgo,Entire home/apt,4519,2,9038
796,Miguel Hidalgo,Hotel room,1030,2,2060
797,Miguel Hidalgo,Entire home/apt,3733,2,7466
798,Miguel Hidalgo,Entire home/apt,1093,1,1093
799,Cuauhtémoc,Entire home/apt,1963,3,5889
800,Cuauhtémoc,Entire home/apt,1392,3,4176
801,Miguel Hidalgo,Private room,449,2,898
802,Coyoacán,Entire home/apt,1167,3,3501
803,Cuauhtémoc,Entire home/apt,1694,3,5082
804,Cuauhtémoc,Entire home/apt,1636,2,3272
805,Cuauhtémoc,Entire home/apt,2736,1,2736
806,Álvaro Obregón,Private room,497,1,497
807,Miguel Hidalgo,Private room,736,4,2944
808,Cuauhtémoc,Entire home/apt,1129,3,3387
809,Miguel Hidalgo,Private room,1500,1,1500
810,Miguel Hidalgo,Private room,500,1,500
811,Cuauhtémoc,Entire home/apt,894,1,894
812,Benito Juárez,Entire home/apt,590,2,1180
813,Cuauhtémoc,Entire home/apt,970,2,1940
814,Benito Juárez,Private room,432,2,864
815,Gustavo A. Madero,Private room,739,1,739
816,Cuauhtémoc,Entire home/apt,1561,3,4683
817,Cuauhtémoc,Private room,555,4,2220
818,Cuauhtémoc,Private room,415,1,415
819,Coyoacán,Private room,311,3,933
820,Miguel Hidalgo,Private room,1000,2,2000
821,Benito Juárez,Private room,320,5,1600
822,Benito Juárez,Private room,500,2,1000
823,Benito Juárez,Entire home/apt,1164,1,1164
824,Azcapotzalco,Private room,250,2,500
825,Benito Juárez,Private room,970,2,1940
826,Tlalpan,Private room,300,1,300
827,Miguel Hidalgo,Private room,480,1,480
828,Cuauhtémoc,Private room,336,4,1344
829,Cuauhtémoc,Entire home/apt,1921,2,3842
830,Cuauhtémoc,Entire home/apt,1097,2,2194
831,Gustavo A. Madero,Private room,450,15,6750
832,Cuajimalpa de Morelos,Entire home/apt,1450,2,2900
833,Benito Juárez,Entire home/apt,18470,30,554100
834,Cuauhtémoc,Private room,485,2,970
835,Cuajimalpa de Morelos,Entire home/apt,1457,2,2914
836,Tlalpan,Private room,306,1,306
837,Miguel Hidalgo,Entire home/apt,4039,2,8078
838,Venustiano Carranza,Private room,460,1,460
839,Benito Juárez,Private room,486,3,1458
840,Cuauhtémoc,Entire home/apt,900,3,2700
841,Benito Juárez,Private room,300,2,600
842,Benito Juárez,Entire home/apt,1220,5,6100
843,Tlalpan,Private room,414,1,414
844,Cuauhtémoc,Entire home/apt,1528,2,3056
845,Cuauhtémoc,Entire home/apt,1860,3,5580
846,Cuauhtémoc,Entire home/apt,914,1,914
847,Álvaro Obregón,Entire home/apt,470,2,940
848,Benito Juárez,Entire home/apt,900,15,13500
849,Benito Juárez,Entire home/apt,583,2,1166
850,Tlalpan,Private room,700,1,700
851,Cuauhtémoc,Entire home/apt,1144,2,2288
852,Cuauhtémoc,Private room,290,1,290
853,Iztapalapa,Private room,720,1,720
